,Text,Total num. of Words,VLength,Vader Words Matches,Semantic Score (-4 to 4),Rate of All Words / Vader Words,Date
0,Link of the day Most popular link among people I follow is  by ,13,1,[popular],1.8,7.69230769231,Sat Jul 11 11:27:11 +0000 2015
1,More improvement to Nairobi in the last 3 weeks than the last 3 years  you should visit more  often,19,1,[improvement],2.0,5.26315789474,Sat Jul 11 11:25:49 +0000 2015
3,fileI485 Plz implement policy to provide AOS for approved I140      ,10,2,"[plz, approved]",1.05,20.0,Sat Jul 11 11:25:02 +0000 2015
4,      India with 400 of USA Population Size Lives in 25of USA Land Area  with Peace,15,1,[peace],2.5,6.66666666667,Sat Jul 11 11:24:40 +0000 2015
5,"   FEEL FREE TO TALK ABOUT THE MURDER OF KateSteinle KatesLaw tcot SanctuaryCity SanctuaryCities
httpt",14,2,"[free, murder]",-0.7,14.2857142857,Sat Jul 11 11:24:24 +0000 2015
7,  The President just took steps to protect more than one million acres of public land  ,15,1,[protect],1.6,6.66666666667,Sat Jul 11 11:24:02 +0000 2015
8,Equality  immigration illegals No one asked  what he was going to remake America into oops SJWs,16,1,[no],-1.2,6.25,Sat Jul 11 11:23:35 +0000 2015
9,  Please post something against Bok Nal Torture Festival South Korea is your ally stopboknal2015 ,14,3,"[please, torture, festival]",0.2,21.4285714286,Sat Jul 11 11:23:35 +0000 2015
11,  You inspired a whole new generation of young women President Obama to the  SheBelieves ,14,1,[inspired],2.2,7.14285714286,Sat Jul 11 11:23:10 +0000 2015
14,  LIVE President Obama is at  speaking about economic progress ,9,1,[progress],1.8,11.1111111111,Sat Jul 11 11:22:32 +0000 2015
15,  The uninsured rate is now at the lowest level to datethanks to Obamacare ,13,1,[lowest],-1.6,7.69230769231,Sat Jul 11 11:22:27 +0000 2015
16,Well done   Uninsured Rate Continues To Drop  via ,8,2,"[well, drop]",0.0,25.0,Sat Jul 11 11:22:23 +0000 2015
17, A LIFE A little innocent girlNOT THRU SCHOOL NO DATING YETNO PROMSNO SENIOR TRIP CONGRESS WOMAN GIFFORD,17,2,"[innocent, no]",0.1,11.7647058824,Sat Jul 11 11:22:23 +0000 2015
18, SHOOTING WITH GUN July 42015 NASHVILLE TENNESSEE BIG CELEBRATION A LITTLE GIRL SHOT WHAT SHOOTING AT BATMAN AND ROBIN UMBRELLA,20,1,[gun],-1.4,5.0,Sat Jul 11 11:21:05 +0000 2015
20, Have a good day sir,5,1,[good],1.9,20.0,Sat Jul 11 11:20:56 +0000 2015
21, COOL,1,1,[cool],1.3,100.0,Sat Jul 11 11:19:34 +0000 2015
22, RT  We at TEEP 15 boot camp  giving AfricanEntrepreneurs a voice Tnks4championing tru YALI Africapitalism,15,1,[giving],1.4,6.66666666667,Sat Jul 11 11:19:08 +0000 2015
24,"  FREEDOM

AS SERVED BY 

Drink up UniteBlue Drink up

WakeUpAmerica CulturalRot tcot  ",12,1,[freedom],3.2,8.33333333333,Sat Jul 11 11:18:51 +0000 2015
25,       USA Citizens Must Learn from INDIA to Live in Peace with 1000Castsand100Religions,12,1,[peace],2.5,8.33333333333,Sat Jul 11 11:18:50 +0000 2015
26,I will say whats obvious and wot most think  hates veterans and all the decency they represent PJNET ,18,1,[hates],-1.9,5.55555555556,Sat Jul 11 11:18:48 +0000 2015
27,   Cant i be freeor i you not enjoying freedom in your countryl need my own countrywhere i we be free biafra ipob,22,3,"[enjoying, freedom, free]",2.63333333333,13.6363636364,Sat Jul 11 11:16:25 +0000 2015
28,Thank you for this wine  ,5,1,[thank],1.5,20.0,Sat Jul 11 11:16:12 +0000 2015
30,  Read how the Obama administration plans to help renters and lowincome homeowners gain easier access to solar energy http,19,4,"[help, gain, easier, energy]",1.75,21.0526315789,Sat Jul 11 11:14:25 +0000 2015
33,  GameOfThrones superfan  is very upset about the death of Jon Snow  ,11,2,"[upset, death]",-2.25,18.1818181818,Sat Jul 11 11:13:29 +0000 2015
34,If you missed it here is the most popular link among people I follow  by ,15,2,"[missed, popular]",0.3,13.3333333333,Sat Jul 11 11:13:15 +0000 2015
35, Than fairy Shunji Yokoyama of a prince of Buddys family team goodwill friendship ambassador angel Good morning,17,2,"[friendship, good]",1.9,11.7647058824,Sat Jul 11 11:11:17 +0000 2015
38, To the grand United States world peace Nobel Prize prize winner United States Obama President named grand trust,18,9,"[grand, united, peace, prize, prize, winner, united, grand, trust]",2.2,50.0,Sat Jul 11 11:10:59 +0000 2015
40,    Bush left a secure Iraq Obama cut and ran for political purposes ISIS waltzed in,15,2,"[secure, cut]",0.15,13.3333333333,Sat Jul 11 11:10:04 +0000 2015
